Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00466297153561749,-0.00153908295027716,-0.0160673413277668,0,0,0,2.17488742643254,0.00118188018234599,5.61129761635286E-06,6.76205035523336E-06,0.0016337887803542,-1.59326873297142E-06,0.00237931918663682,0,0,0,0,0,0,package://yeahbot_c1/meshes/base_link.STL,0.411764705882353,0.411764705882353,0.411764705882353,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/base_link.STL,,C21底盘-1;大电机-3;大电机-1;霍尔编码器电机-1/大电机-1;大电机-2;C21小车云台支撑左-2;C21小车云台平板 2-1;C21小车云台支撑右-1;总线单轴舵机-1;小云台组合-1/M4X14双通铜柱-3;小云台组合-1/GB818-M4X35-2;小云台组合-1/GB818-M4X35-1;小云台组合-1/M4X14双通铜柱-4;小云台组合-1/M4X14双通铜柱-1;小云台组合-1/GB818-M4X35-3;小云台组合-1/M4X14双通铜柱-2;小云台组合-1/GB818-M4X35-4;小云台组合-1/deep groove ball bearings gb-1;小云台组合-1/Lm2小圆环-2;小云台组合-1/Lm2小圆环-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_lf_link,-4.84915538279118E-08,-0.00839875845441912,-4.59090557007602E-07,0,0,0,0.149720169073326,6.8397294914088E-05,1.24963769585337E-11,5.68757400846383E-10,0.000109193414887083,-5.04349519191495E-10,6.84002090632343E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_lf_link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_lf_link.STL,,麦轮左+联轴器-2/麦轮80-左-1;麦轮左+联轴器-2/cross recessed pan head screws gb-1;麦轮左+联轴器-2/D6联轴器1-1,lf,f,wheel_lf_joint,continuous,0.0906867232171967,0.112758694630361,-0.0334999999999999,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_rf_link,2.35543067828026E-07,0.00839893400996694,3.48178443083935E-07,0,0,0,0.149717148628034,6.83967465049843E-05,-4.91979625838237E-10,2.9427345063431E-10,0.000109188700101397,-6.20465094945869E-10,6.83967026899844E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_rf_link.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_rf_link.STL,,麦轮右+联轴器-2/麦轮80-右-1;麦轮右+联轴器-2/D6联轴器1-1;麦轮右+联轴器-2/cross recessed pan head screws gb-1,rf,f,wheel_rf_joint,continuous,0.0906867232171966,-0.114777457475873,-0.0335000000000006,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_lb_link,-2.72972162623786E-07,-0.00839893236951531,-3.45282314108408E-07,0,0,0,0.149717186499215,6.83965592857652E-05,-4.67908491184818E-10,2.28982918059758E-10,0.000109188713772428,-6.41854054411003E-10,6.83969236052175E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_lb_link.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_lb_link.STL,,麦轮右+联轴器-1/麦轮80-右-1;麦轮右+联轴器-1/cross recessed pan head screws gb-1;麦轮右+联轴器-1/D6联轴器1-1,lb,b,wheel_lb_joint,continuous,-0.0873063572631356,0.112758694630026,-0.0334999999999966,0,0,0,base_link,0,1,0,,,,,,,,,,,,
wheel_rb_link,4.85118345633362E-08,0.00839875845437382,-4.59094896945733E-07,0,0,0,0.149720169073934,6.83972949244701E-05,1.25204826151774E-11,-5.68734324528353E-10,0.000109193414887782,5.04343934484521E-10,6.84002090537243E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_rb_link.STL,0.203921568627451,0.203921568627451,0.203921568627451,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/wheel_rb_link.STL,,麦轮左+联轴器-1/麦轮80-左-1;麦轮左+联轴器-1/cross recessed pan head screws gb-1;麦轮左+联轴器-1/D6联轴器1-1,rb,b,wheel_rb_joint,continuous,-0.0873063572631367,-0.114777457476207,-0.0335000000000006,0,0,0,base_link,0,1,0,,,,,,,,,,,,
imu_link,-1.2407750220822E-05,-0.00716717740981382,-0.0103264329614115,0,0,0,0.0370499748531924,9.48782215617797E-06,6.72090333991418E-09,7.80615146406528E-10,4.36544577953433E-06,5.84243702680289E-09,1.33425192423164E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/imu_link.STL,,4B+RF4-1,imu,,imu_joint,fixed,-0.047201,0.018594,0.033186,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lider_link,-0.0126557757142219,0.00286227958079444,-0.0103246095252843,0,0,0,0.0393983522491847,1.24256550732977E-05,4.74742992229018E-07,2.11242416700294E-08,1.29339878785445E-05,-2.6384350040162E-08,2.32000015148583E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/lider_link.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/lider_link.STL,,silanc1-1,lider,,lider_joint,fixed,0.084194,-0.0010094,0.0231,0,0,0,base_link,0,0,0,,,,,,,,,,,,
screen_link,0.00315525424866003,0.000703583840673594,-0.00551023521150622,0,0,0,0.142532744364523,0.000374518038974213,-1.67585708743814E-06,-6.34569098559303E-05,0.00012906189525786,-1.67585708743744E-06,0.000373081373994419,0,0,0,0,0,0,package://yeahbot_c1/meshes/screen_link.STL,0.556862745098039,0.556862745098039,0.556862745098039,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/screen_link.STL,,M3X6双通铜柱 -1;触摸屏支架-1;M3X6双通铜柱 -2;M3X6双通铜柱 -4;触摸屏支撑架-2;M3X6双通铜柱 -3;触摸屏支撑架-1;7寸触摸屏-1,screen,Axis_screen_joint,screen_joint,fixed,-0.09573,-0.0010094,0.090967,0,0,0,base_link,0,0,0,100,1,0.001,-0.001,,,,,,,,
arm_0_link,2.64540739135233E-06,-5.92142325849809E-05,0.0298134396521152,0,0,0,0.0579605270023622,1.30813779896253E-05,1.73866669581973E-07,-1.28481943331332E-09,8.78551361891797E-06,2.91914595152878E-08,1.23126981744758E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/arm_0_link.STL,0.149019607843137,0.149019607843137,0.149019607843137,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/arm_0_link.STL,,小云台组合-1/长窄u支架固定在小圆盘-1/Lm2小圆盘-1;小云台组合-1/舵盘固定在小圆盘-1/金属主舵盘1-1;小云台组合-1/舵盘固定在小圆盘-1/cross recessed pan head screws gb-3;小云台组合-1/舵盘固定在小圆盘-1/cross recessed pan head screws gb-2;小云台组合-1/舵盘固定在小圆盘-1/cross recessed pan head screws gb-4;小云台组合-1/舵盘固定在小圆盘-1/cross recessed pan head screws gb-1;小云台组合-1/舵盘固定在小圆盘-1/Lm2小圆盘-1;小云台组合-1/GB6170-M3-ZN-10-1;小云台组合-1/GB818-M3X18-ZN-4.8 -2;小云台组合-1/GB6170-M3-ZN-10-2;小云台组合-1/GB818-M3X18-ZN-4.8 -3;小云台组合-1/GB6170-M3-ZN-10-3;小云台组合-1/GB818-M3X18-ZN-4.8 -1;小云台组合-1/GB6170-M3-ZN-10-4;小云台组合-1/GB818-M3X18-ZN-4.8 -4;长窄u支架-1;机械臂加长-1/总线双轴舵机1-1,0,00,arm_0_joint,revolute,0.0171436427368627,-0.00100938142292312,0.076498679980641,0,0,0,base_link,0,0,-1,100,1,2.355,-2.355,,,,,,,,
arm_1_link,-0.000864434271694619,0.02146953748423,0.0637686604465789,0,0,0,0.052178109428265,1.67705261573249E-05,2.58559765959361E-07,-4.17326201657409E-10,1.03959973011344E-05,-1.68995737298452E-11,1.14198194083269E-05,0,0,0,0,0,0,package://yeahbot_c1/meshes/arm_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://yeahbot_c1/meshes/arm_1_link.STL,,机械臂加长-1/金属从舵盘-1;机械臂加长-1/大u1-1;机械臂加长-1/cross recessed pan head screws gb-9;机械臂加长-1/cross recessed pan head screws gb-8;机械臂加长-1/cross recessed pan head screws gb-6;机械臂加长-1/cross recessed pan head screws gb-7;机械臂加长-1/金属主舵盘1-1;机械臂加长-1/cross recessed pan head screws gb-5;机械臂加长-1/cross recessed pan head screws gb-4;机械臂加长-1/cross recessed pan head screws gb-1;机械臂加长-1/cross recessed pan head screws gb-2;机械臂加长-1/cross recessed pan head screws gb-3;机械臂加长-1/长方体连接1-1;机械臂加长-1/cross recessed pan head screws gb-37;机械臂加长-1/cross recessed pan head screws gb-38;机械臂加长-1/cross recessed pan head screws gb-41;机械臂加长-1/金属主舵盘1-5;机械臂加长-1/cross recessed pan head screws gb-39;机械臂加长-1/中u-1;机械臂加长-1/cross recessed pan head screws gb-40;机械臂加长-1/金属从舵盘-5;机械臂加长-1/cross recessed pan head screws gb-45;机械臂加长-1/cross recessed pan head screws gb-42;机械臂加长-1/cross recessed pan head screws gb-43;机械臂加长-1/cross recessed pan head screws gb-44,1,11,arm_1_joint,revolute,0.00075831,-0.02253,0.055402,0,0,0,arm_0_link,-0.040462,0.99918,0,100,1,1.57,-1.57,,,,,,,,
